name,deception_score,release_var,velo_sep,spin_diff
Mason Montgomery,0.8246427069661459,0.11282902374707238,8.630293225480287,32.49646107178967
Jacob Waguespack,0.7249371906102159,0.09446819529303505,10.914541508713683,174.56381486676017
Hunter Bigge,0.7109497129205835,0.12863342809967906,11.936692191196087,182.15012106537532
Joe Boyle,0.5786085075692858,0.1597641829739729,9.706869719010001,174.53778098329127
Shane Baz,0.576220033176988,0.12065047708109491,9.339479105178825,199.8228091942014
Pete Fairbanks,0.5693940196280642,0.13384148234249665,8.217671904090977,161.0501497005988
Cole Sulser,0.5487323787702377,0.1431497949546443,7.86774916559375,155.9311821816105
Garrett Cleavinger,0.5399719867394532,0.15334941905660504,8.13787909022615,160.0588282504013
Taj Bradley,0.5208336499825377,0.11175736764551339,7.473343814477104,189.5601578448527
Kevin Kelly,0.4914829838071678,0.14890356661695028,7.002080277853949,162.14463216589772
Shane McClanahan,0.47224218086860337,0.14681819760324083,7.822901619173862,198.96058334838364
Edwin Uceta,0.4535506962475837,0.144780140902723,6.960164129655652,188.11466666666666
Zack Littell,0.39581811746094586,0.19767785841451735,7.4680129311563235,192.0761955197797
Mason Englert,0.2786510497185846,0.19571008807732398,5.766470624040863,218.751209574739
Alex Faedo,0.07439898893197583,0.37915736915149356,5.3044207515272035,172.56065966674277
